degree,clustering
39,0.9986504723346828
45,0.996969696969697
46,1.0
48,1.0
52,1.0
55,0.9988776655443322
56,0.9970779220779221
57,0.9974937343358397
58,0.9975801572897761
60,0.9994350282485875
62,0.9993389740877843
63,0.9979518689196109
64,1.0
65,0.9995192307692308
66,0.9972027972027973
67,1.0
68,0.9995610184372256
69,0.9997158283603297
70,0.998343685300207
71,0.9967806841046277
72,0.9964788732394366
73,0.9996194824961948
74,0.9990127113414785
75,0.9981981981981982
76,0.996842105263158
77,0.9972658920027342
78,0.9971694971694971
79,0.997588908981314
80,0.9983122362869198
81,0.9976851851851852
82,0.9970892301515608
83,0.9979429914781075
84,0.9968923312296806
85,0.9982633053221288
86,0.9965604846589798
87,0.9967923015236567
88,0.9978448275862069
89,0.9982124616956077
90,0.9978360382854765
91,0.9971916971916972
92,0.9968944099378882
93,0.9976624590930341
94,0.9975978037062456
95,0.9973124300111982
96,0.9977631578947369
97,0.9963845933562429
98,0.9976856722070271
99,0.997068187544378
100,0.997037037037037
101,0.996039603960396
102,0.9985439720442633
103,0.9964591661907483
104,0.9959391336818522
105,0.9956654456654457
106,0.9955974842767296
107,0.99429847763475
108,0.9932502596053997
132,0.9475253428741801
172,0.7522450400278454
175,0.8215485952412959
185,0.6700894733681619
187,0.7796709753231492
191,0.7397275695148036
194,0.7568171902268761
199,0.7400290065264684
206,0.7089732444702018
211,0.6998527788001472
212,0.7046707678286626
222,0.6799086757990868
223,0.6543192102015631
224,0.6677265500794912
225,0.6567688764998182
228,0.6607276302851524
230,0.6572378081768298
231,0.643415306826017
235,0.6364880864288885
236,0.6386045999779906
238,0.6382618103137396
244,0.6192003017729159
247,0.6125961860153898
248,0.6040152646424424
249,0.6078799249530957
253,0.6041115537848606
256,0.5987675453611777
258,0.5786151960784314
259,0.5958475194552529
260,0.5876391276807529
264,0.5678979848498142
265,0.5812846486517865
269,0.5715412125820167
270,0.5707417966348035
273,0.557086237529042
275,0.558230984701573
277,0.5528334439283344
281,0.5455764420721487
282,0.5441500256016385
283,0.5277071682765633
284,0.5358395800206961
285,0.5345713354885597
288,0.5217519322782481
289,0.5244998903535489
290,0.5278987611304684
292,0.5267151891182437
293,0.5166962910297429
297,0.5156923786463739
298,0.5136280348144755
299,0.5118527618527619
300,0.5035251847332385
301,0.504388229220444
302,0.5007357859531772
303,0.4982281284606866
305,0.4922518741940419
306,0.4960700017370158
307,0.4948339085418464
308,0.49381763634415515
309,0.4920642524110621
310,0.4868384872456534
311,0.48781574412642376
312,0.486084142394822
313,0.4843066071984234
314,0.4819286420974524
315,0.48017530924879165
316,0.4784233125089029
317,0.4764129006167223
